sampleName,nCount_RNA,nFeature_RNA,percent.mt
WT_0h,2884,1818,0.450762829403606
WT_0h,2080,1397,0.240384615384615
WT_0h,3150,2027,0.317460317460317
WT_0h,5402,2566,0.14809329877823
WT_0h,5218,2704,0.287466462246071
WT_0h,4116,2283,0.315840621963071
WT_0h,4184,2307,0.262906309751434
WT_0h,5326,2661,0.206533984228314
WT_0h,5218,2515,0.134151015714833
WT_0h,3348,1985,0.3584229390681
WT_0h,2344,1480,0.127986348122867
WT_0h,6238,2906,0.288554023725553
WT_0h,3682,2150,0.0543183052688756
WT_0h,4940,2420,0.1417004048583
WT_0h,7301,3462,0.438296123818655
WT_0h,6565,3207,0.853008377760853
WT_0h,8946,3672,0.201207243460765
WT_0h,9384,3765,0.170502983802217
WT_0h,1139,619,0.175592625109745
WT_0h,4077,2228,0.171694873681629
WT_0h,762,509,0.5249343832021
WT_0h,7537,3346,0.265357569324665
WT_0h,3771,2166,0.159108989657916
WT_0h,4271,2334,0.163896043081246
WT_0h,4466,2279,0.111957008508733
WT_0h,4249,2449,0.258884443398447
WT_0h,1336,938,0.149700598802395
WT_0h,3944,2160,0.329614604462475
WT_0h,3717,1982,0.349744417541028
WT_0h,3773,2091,0.238536973230851
WT_0h,3860,2068,0.207253886010363
WT_0h,4374,2460,0.137174211248285
WT_0h,4069,2221,0.270336692061932
WT_0h,3365,1851,0.148588410104012
WT_0h,2996,1845,0.467289719626168
WT_0h,3915,2244,0.561941251596424
WT_0h,4909,2623,0.101853738032186
WT_0h,4751,2647,1.11555462007998
WT_0h,4090,2196,0.415647921760391
WT_0h,3074,1743,0.5530253741054
WT_0h,2593,1566,0.578480524489009
WT_0h,3849,2244,0.0779423226812159
WT_0h,4652,2447,0.494411006018917
WT_0h,4993,2262,0.0400560785099139
WT_0h,3626,2110,0.0827357970215113
WT_0h,4622,2406,0.454348766767633
WT_0h,3356,2034,0.208581644815256
WT_0h,2473,1713,0.566114031540639
WT_0h,6795,3276,0.500367917586461
WT_0h,3230,1848,0.154798761609907
WT_0h,3769,2073,0.291854603343062
WT_0h,5276,2518,0.0379075056861259
WT_0h,2065,1300,0
WT_0h,8748,3468,0.0114311842706904
WT_0h,3367,1854,0.267300267300267
WT_0h,4528,2278,0.198763250883392
WT_0h,3544,2054,0.225733634311512
WT_0h,4080,2400,0.122549019607843
WT_0h,5242,2704,0.11446012972148
WT_0h,7070,3388,0.268741159830269
WT_0h,587,467,0.851788756388416
WT_0h,3804,2275,0.131440588853838
WT_0h,15341,5232,0.56710775047259
WT_0h,4424,2552,0.655515370705244
WT_0h,5489,2825,0.109309528147204
WT_0h,3202,1870,0.156152404747033
WT_0h,7761,3155,2.19043937636902
WT_0h,2952,1918,0.609756097560976
WT_0h,3667,2125,0.0545404963185165
WT_0h,5726,2821,0.209570380719525
WT_0h,4897,2464,0.18378599142332
WT_0h,2968,1923,0.370619946091644
WT_0h,3250,1922,0.123076923076923
WT_0h,2773,1756,0.252434186801298
WT_0h,7564,3488,0.118984664198837
WT_0h,3054,1767,0.360183366077276
WT_0h,3223,1965,0.310269934843314
WT_0h,4550,2309,0.351648351648352
WT_0h,4063,2397,0.443022397243416
WT_0h,4240,2413,0.0235849056603774
WT_0h,1791,1280,1.73087660524846
WT_0h,3575,2014,0.111888111888112
WT_0h,2112,1490,0.568181818181818
WT_0h,2678,1679,0.112023898431665
WT_0h,3953,2119,0.202377940804452
WT_0h,2698,1796,0.370644922164566
WT_0h,4294,2525,0.256171401956218
WT_0h,4028,2243,0.397219463753724
WT_0h,4720,2386,0.105932203389831
WT_0h,7115,3264,0.252986647926915
WT_0h,4849,2341,0.103114044132811
WT_0h,3360,1991,0.0595238095238095
WT_0h,3884,2299,0.257466529351184
WT_0h,4144,2443,0.0965250965250965
WT_0h,1485,1098,0.740740740740741
WT_0h,4033,2066,0.0991817505578974
WT_0h,3188,1790,0.313676286072773
WT_0h,5086,2547,0.471883602044829
WT_0h,3932,2249,0.305188199389624
WT_0h,3570,2041,0.140056022408964
WT_0h,6833,3155,0.102444021659593
WT_0h,5501,2815,0.363570259952736
WT_0h,3348,1965,0.448028673835125
WT_0h,3632,2196,0.0825991189427313
WT_0h,4244,2479,0.942507068803016
WT_0h,4685,2368,0.533617929562433
WT_0h,5144,2588,0.213841368584759
WT_0h,4175,2257,0.0958083832335329
WT_0h,4015,2365,0.174346201743462
WT_0h,461,265,0
WT_0h,16711,5539,0.61636048112022
WT_0h,11749,4455,0.238318154736573
WT_0h,3842,1980,0.260281103591879
WT_0h,3856,2154,0.285269709543568
WT_0h,10973,4406,0.565023238859018
WT_0h,17486,5689,0.526135193869381
WT_0h,4810,2445,0.935550935550936
WT_0h,4144,2366,0.675675675675676
WT_0h,391,272,0.767263427109974
WT_0h,2364,1556,0.930626057529611
WT_0h,3397,1940,0.176626435089785
WT_0h,1275,920,0.156862745098039
WT_0h,4070,2338,0.27027027027027
WT_0h,7947,3497,0.377500943752359
WT_0h,4344,2443,0.575506445672192
WT_0h,4359,2455,0.298233539802707
WT_0h,1292,962,0.619195046439629
WT_0h,2454,1669,0.0814995925020375
WT_0h,5221,2469,0.153227351082168
WT_0h,5011,2599,0.119736579525045
WT_0h,2930,1753,0.068259385665529
WT_0h,11810,4687,1.0584250635055
